"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"AI 到底能够真正提高设计师的效率？#建筑设计 #AI #AI设计 #Concetto #方案设计 #建筑设计师 #设计师 #建模 #AI建模 #AI渲染 ","export/UzFfAgtgekIEAQAAAAAAo1cxWBVOVgAAAAstQy6ubaLX4KHWvLEZgBPEy6NEBAYSB4ePzNPgMJqfjr2wigvUCrB61lEVynVQ","2025/09/27","11.14%","32.50秒",413,2,2,0,1,0,1,0,0,0
"甲方：我付了设计费，你做这些是应该的 #建筑设计 #建筑设计师 #设计院 #建筑设计院 #设计师 #设计院 #BIM正向设计 #正向设计 #甲方","export/UzFfAgtgekIEAQAAAAAAcJ8q6GpopAAAAAstQy6ubaLX4KHWvLEZgBPE-aMIDWI3J4WPzNPgMJqCMzq73hD2IuIkHVUthSwy","2025/09/26","10.92%","29.25秒",1099,3,3,0,0,1,0,0,0,0
"内卷到最后，设计费还没物业费高 #内卷 #设计院 #设计费 #建筑设计 #建筑设计师 #设计院日常","export/UzFfAgtgekIEAQAAAAAAaIYqINxnJgAAAAstQy6ubaLX4KHWvLEZgBPEzKNULR4gUIWPzNPgMJo5Tq05ZWfACugep1i2vYwt","2025/09/25","15.34%","34.45秒",2027,5,7,3,5,4,5,0,0,0
"建筑设计做了 15 年，转行又能做什么呢？
#建筑设计 #设计师 #设计院 #建筑设计师 #设计师转行 #设计师发展前景 #建筑设计师薪资","export/UzFfAgtgekIEAQAAAAAAPqomF7xh8AAAAAstQy6ubaLX4KHWvLEZgBPEzKMcZ2YIA7qPzNPgMJp9A0FsNuI2xsZwrU_fnVhr","2025/09/25","10.91%","75.40秒",944,9,12,4,8,3,8,0,0,0
"设计院干了 15 年，从没见过加班费～设计师是不值得有加班费吗？ #设计师 #设计院 #建筑设计师 #建筑设计 #设计师日常 #设计院日常 #设计院加班","export/UzFfAgtgekIEAQAAAAAAKVc0NUVyEAAAAAstQy6ubaLX4KHWvLEZgBPE36NgYVYob7uPzNPgMJp7bO_k7Elct3gpgygszV18","2025/09/24","13.71%","59.15秒",5071,8,12,0,16,23,16,0,0,0
"15 年的感悟：做设计完全就是在为爱发电 #设计师 #设计院 #建筑设计 #设计师日常 #设计费 #建筑学","export/UzFfAgtgekIEAQAAAAAA0lIpfPz4cQAAAAstQy6ubaLX4KHWvLEZgBPEzKN0AH5KG7iPzNPgMJpbTzXDzD2MOUsyzIGQoZUr","2025/09/23","2.77%","382.20秒",506,4,6,0,5,1,5,0,0,0
"为啥设计师还能倒欠公司钱？
#设计院 #设计师 #结构设计 #建筑设计 #建筑学 #建筑设计师 #结构设计师 #设计师日常 #设计院日常","export/UzFfAgtgekIEAQAAAAAAWvApsP5GSQAAAAstQy6ubaLX4KHWvLEZgBPE_KNgTj8JQrmPzNPgMJpdykmLQgZXFfDM8tMwDGuD","2025/09/22","22.43%","24.70秒",3860,10,13,13,14,3,14,0,0,0
"进设计院为啥先从画楼梯开始🤔
#建筑设计 #结构设计 #设计师 #设计院 #设计院日常 #设计师日常 #画楼梯 #设计新人","export/UzFfAgtgekIEAQAAAAAAxNkE0zQj9AAAAAstQy6ubaLX4KHWvLEZgBPEzqNUISsPcb2PzNPgMJrfsXgKYoswtUTmXTmDE-Xk","2025/09/19","40.30%","11.70秒",48928,44,122,123,88,136,88,0,0,0
"现在还能去设计院吗？ #设计院 #设计师 #建筑设计 #结构设计 #设计师日常 #设计院日常","export/UzFfAgtgekIEAQAAAAAAmoME1pbzUgAAAAstQy6ubaLX4KHWvLEZgBPEz6M8FEt4XLKPzNPgMJpPd9R_EHErTIDKK_6EzcWa","2025/09/18","40.24%","17.55秒",18931,17,43,33,101,45,101,0,0,0
"规范、冗余，都能保证建筑万无一失。可谁来保证设计师不被拖垮？辛苦画的图，不值几个钱，
一点问题，却要背锅到底。最薄弱的，不是钢筋混凝土，而是被困在其中的设计师。
#设计师 #工程设计 #结构设计 #建筑设计 #设计院 #设计师日常 #设计院日常","export/UzFfAgtgekIEAQAAAAAA7JU2ywJ5aAAAAAstQy6ubaLX4KHWvLEZgBPE3KNkTmceBLCPzNPgMJoV66AnrfWePKgtjyQjLE3U","2025/09/17","4.76%","3.76秒",21,3,3,0,0,0,0,0,0,0
